Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Stephanie Whiting,F,SBD,Single-ply,70.5,70-74,70-999,F-M4a,42.9,47,60,65,67.5,,67.5,40,42.5,,,42.5,77.5,85,-92.5,,85,195,1,273.89,279.17,251.15,45.92,Yes,USA,HI,USAPL,IPF,12/7/2019,USA,CA,Anaheim,California Winter Classic,Yes
Nancy Sassaman,F,SBD,Raw,71,70-74,70-999,FR-M4a,55.9,57,60,62.5,65,,65,27.5,32.5,37.5,,37.5,87.5,95,102.5,,102.5,205,1,237.9,241.54,213.66,48.8,Yes,USA,CA,USAPL,IPF,12/7/2019,USA,CA,Anaheim,California Winter Classic,Yes
Carole Aldrich,F,SBD,Raw,73.5,70-74,70-999,FR-M4a,60.6,63,45,47.5,-52.5,,47.5,35,37.5,-40,,37.5,70,72.5,-75,,72.5,157.5,1,173.51,174.25,153.94,35.36,Yes,USA,CA,USAPL,IPF,12/7/2019,USA,CA,Anaheim,California Winter Classic,Yes
Sue Albert,F,SBD,Raw,72.5,70-74,70-999,FR-M4a,109.1,84+,57.5,60,65,,65,45,-47.5,-47.5,,45,80,85,-90,,85,195,1,161.19,158.83,135.24,34.05,Yes,USA,CA,USAPL,IPF,12/7/2019,USA,CA,Anaheim,California Winter Classic,Yes
Denise Johnson,F,B,Raw,74.5,70-74,70-999,FR-M4,46.95,,,,,,,25,30,32.5,,32.5,,,,,,32.5,1,42.63,43.74,39,34.49,Yes,USA,WA,USAPL,,3/4/2022,USA,OH,Columbus,Arnold Masters of Iron Pro Bench,Yes
Shirley Witte,F,SBD,Raw,72.5,70-74,70-999,FR-M4a,59,63,35,-40,-40,,35,20,-25,25,,25,77.5,82.5,87.5,,87.5,147.5,1,165.26,166.61,147.24,33.74,Yes,USA,MI,USAPL,IPF,11/5/2016,USA,MI,,Michigan Powerlifting and BP State Championships,Yes
Shirley Witte,F,SBD,Raw,72.5,70-74,70-999,FR-O,59,63,35,-40,-40,,35,20,-25,25,,25,77.5,82.5,87.5,,87.5,147.5,7,165.26,166.61,147.24,33.74,Yes,USA,MI,USAPL,IPF,11/5/2016,USA,MI,,Michigan Powerlifting and BP State Championships,Yes
Bebe Burns,F,SBD,Raw,71.5,70-74,70-999,FR-M4a,50.6,52,42.5,52.5,-55,,52.5,32.5,37.5,-40,,37.5,60,70,75,,75,165,1,205,210.05,186.41,42.67,Yes,USA,,USAPL,IPF,7/17/2014,USA,CO,,Raw Nationals,Yes
Regina Hackney,F,SBD,Raw,74.5,70-74,70-999,FR-M4b,82.4,84,70,75,80,,80,45,47.5,-50,,47.5,115,120,125,,125,252.5,1,234.49,227.39,199.05,48.05,Yes,USA,,USAPL,IPF,7/17/2014,USA,CO,,Raw Nationals,Yes
Joan Schmidt,F,B,Single-ply,74,70-74,70-999,F-O,46,47,,,,,,32.5,35,-37.5,,35,,,,,,35,2,46.61,47.8,42.69,27.05,Yes,USA,,USAPL,IPF,8/23/2014,USA,TX,,Bench Nationals,Yes
Joan Schmidt,F,B,Single-ply,74,70-74,70-999,F-M4a,46,47,,,,,,32.5,35,-37.5,,35,,,,,,35,1,46.61,47.8,42.69,27.05,Yes,USA,,USAPL,IPF,8/23/2014,USA,TX,,Bench Nationals,Yes
Regina Hackney,F,B,Single-ply,74.5,70-74,70-999,F-M4b,82,84,,,,,,65,70,75,,75,,,,,,75,1,69.82,67.71,59.29,39.54,Yes,USA,,USAPL,IPF,8/23/2014,USA,TX,,Bench Nationals,Yes
Rebecca Ralston,F,SBD,Raw,71.5,70-74,70-999,FR-M4a,54.35,56,72.5,-80,-85.5,,72.5,37.5,40,-42.5,,40,87.5,95,-105,,95,207.5,1,245.38,249.93,221.23,50.51,Yes,USA,CO,USAPL,,2/24/2024,USA,CO,,Colorado State Championship,Yes
Janice Haveson,F,SBD,Raw,70.5,70-74,70-999,FR-M4,56.45,60,72.5,-75,75,,75,47.5,50,51.5,,51.5,92.5,97.5,102.5,,102.5,229,1,264.04,267.76,236.8,54.11,Yes,USA,PA,USAPL,,4/22/2023,USA,PA,,Pennsylvania State Championship,Yes
Patricia Kroken,F,SBD,Raw,70.5,70-74,70-999,FR-M4,86.71,84+,75,-80,80,,80,32.5,,,,32.5,100,105,-107.5,,105,217.5,1,197.19,191.02,166.59,40.58,Yes,USA,NM,USAPL,IPF,3/17/2018,USA,NM,,New Mexico State Championship,Yes
Susan Elwyn,F,SBD,Raw,70.5,70-74,70-999,FR-M4,46.2,47,70,-82.5,-85.5,,70,35,-40.5,-40.5,,35,110,120.5,-122.5,,120.5,225.5,1,299.33,307.02,274.07,63.6,Yes,USA,FL,USAPL,IPF,10/11/2018,USA,WA,Spokane,Raw Nationals,Yes
Sandra Simmons,F,SBD,Raw,70,70-74,70-999,FR-M4,56.7,57,-65,-67.5,67.5,,67.5,40,42.5,-46.5,,42.5,-90,97.5,-105,,97.5,207.5,1,238.56,241.78,213.81,48.87,Yes,USA,FL,USAPL,IPF,10/11/2018,USA,WA,Spokane,Raw Nationals,Yes
Helen White,F,SBD,Raw,73,70-74,70-999,FR-M4,61.7,63,77.5,82.5,-83,,82.5,55,57.5,-60,,57.5,115,-128,-128,,115,255,1,277.79,278.24,245.76,56.56,Yes,USA,NJ,USAPL,IPF,10/11/2018,USA,WA,Spokane,Raw Nationals,Yes
Gail Moore,F,SBD,Raw,71,70-74,70-999,FR-M4,71.2,72,70,80,82.5,,82.5,60,62.5,-67.5,,62.5,95,105,115,,115,260,1,260.45,255.68,225.28,52.96,Yes,USA,PA,USAPL,IPF,10/11/2018,USA,WA,Spokane,Raw Nationals,Yes
Marilyn Cataldo,F,SBD,Raw,70.5,70-74,70-999,FR-M4,79.6,84,-57.5,57.5,-70,,57.5,35,-42.5,42.5,,42.5,127.5,137.5,140,,140,240,1,226.71,220.22,193.18,46.34,Yes,USA,NY,USAPL,IPF,10/11/2018,USA,WA,Spokane,Raw Nationals,Yes
Sue Albert,F,SBD,Raw,71.5,70-74,70-999,FR-M4,105.8,84+,52.5,60,62.5,,62.5,42.5,45,47.5,,47.5,-95,95,102.5,,102.5,212.5,2,177.55,174.3,148.62,37.36,Yes,USA,CA,USAPL,IPF,10/11/2018,USA,WA,Spokane,Raw Nationals,Yes
Bebe Burns,F,SBD,Single-ply,74.5,70-74,70-999,F-M4,51.54,52,65,75,-80,,75,45,51,-52.5,,51,75,83,85,,85,211,1,258.79,264.85,234.85,43.24,Yes,USA,WA,USAPL,IPF,5/19/2017,USA,FL,,35th Annual Open National Championship,Yes
Marie Laurence,F,SBD,Single-ply,74.5,70-74,70-999,F-M4,55.18,57,52.5,-60,-62.5,,52.5,27.5,32.5,-37.5,,32.5,75,82.5,85,,85,170,2,198.99,202.35,179.04,33.27,Yes,USA,PA,USAPL,IPF,5/19/2017,USA,FL,,35th Annual Open National Championship,Yes
Helen White,F,SBD,Single-ply,71.5,70-74,70-999,F-M4,61.5,63,85,90,-97.5,,90,67.5,72.5,-75,,72.5,122.5,130,-135,,130,292.5,1,319.28,319.95,282.61,53.54,Yes,USA,NJ,USAPL,IPF,5/19/2017,USA,FL,,35th Annual Open National Championship,Yes
Shirley Cunningham,F,SBD,Raw,72.5,70-74,70-999,FR-M4,60.1,63,40,50,55,,55,30,32.5,35,,35,80,85,90,,90,180,1,199.33,200.42,177.08,40.64,Yes,USA,AL,USAPL,IPF,12/2/2017,USA,MS,,Brother Bennett Memorial,Yes
Gale Williams,F,SBD,Raw,74,70-74,70-999,FR-M4,65.8,67.5,77.5,-82.5,-85,,77.5,52.5,57.5,-62.5,,57.5,115,122.5,126,,126,261,1,273.49,271.36,239.47,55.58,Yes,USA,GA,USAPL,,2/19/2022,USA,GA,,Georgia State Championships,Yes
Gale Williams,F,SBD,Raw,74,70-74,70-999,FR-M4b,65.8,67.5,77.5,-82.5,-85,,77.5,52.5,57.5,-62.5,,57.5,115,122.5,126,,126,261,1,273.49,271.36,239.47,55.58,Yes,USA,GA,USAPL,,2/19/2022,USA,GA,,Georgia State Championships,Yes
Susan Engelbrecht,F,D,Raw,73.5,70-74,70-999,Masters 70-74,55.25,56,,,,,,,,,,,,,,,92.99,92.99,1,108.76,110.58,97.84,,,USA,,SPF,,11/21/2020,USA,GA,Loganville,Iron Turkey Bash,Yes
Mary Yale,F,B,Raw,72.5,70-74,70-999,Masters 70-74,74.84,75,,,,,,,,,,40.82,,,,,,40.82,1,39.8,38.86,34.18,31.52,,USA,,SPF,,12/2/2017,USA,GA,Loganville,Monster Mania Push/Pull,Yes
Sharie Mobley,F,B,Raw,71,70-74,70-999,Masters 70-74,55.79,56,,,,,,56.7,61.23,-63.5,,61.23,,,,,,61.23,1,71.15,72.26,63.92,55.32,,USA,AR,SPF,,11/7/2020,USA,AR,Russellville,Iron Maiden,Yes
Sharie Mobley,F,SBD,Wraps,70,70-74,70-999,Masters 70-74,54.25,56,113.4,-124.74,-124.74,,113.4,56.7,63.5,-65.77,,63.5,131.54,142.88,149.69,,149.69,326.59,1,386.69,393.94,348.72,79.61,,USA,AR,SPF,,11/2/2019,USA,AR,Russellville,Iron Maiden,Yes
Sharie Mobley,F,SBD,Wraps,73,70-74,70-999,Masters 70-74,58.97,60,102.06,-115.67,116.57,,116.57,56.7,-61.23,61.69,,61.69,124.74,141.07,-145.15,,141.07,319.33,1,357.91,360.84,318.89,73.07,,USA,AR,SPF,,11/5/2022,USA,AR,Russellville,Iron Maidens 6,Yes
Sherie Mobley,F,BD,Raw,71,70-74,70-999,Masters 70-74,55.25,56,,,,,,61.23,,,,61.23,142.88,,,,142.88,204.12,1,238.73,242.72,214.76,,,USA,AR,SPF,,6/26/2021,USA,AR,Little Rock,Arkansas State Championship,Yes
Sharie Mobley,F,SBD,Wraps,70,70-74,70-999,Masters 70-74,55.7,56,102.06,113.4,-127.01,,113.4,56.7,61.23,-65.77,,61.23,142.88,151.95,-161.03,,151.95,326.59,1,379.91,385.89,341.37,77.97,,USA,AR,SPF,,6/27/2020,USA,AR,Little Rock,Arkansas State Championship,Yes
Sharie Mobley,F,SBD,Wraps,71,70-74,70-999,Masters 70-74,54.88,56,-106.59,-106.59,106.59,,106.59,56.7,-65.77,65.77,-70.31,65.77,133.81,151.95,158.76,,158.76,331.12,1,389.01,395.82,350.27,79.97,,USA,AR,SPF,,1/30/2021,USA,AR,Dover,The Proving Ground Classic,Yes
Sharie Mobley,F,SBD,Wraps,74,70-74,70-999,M70-74,56.52,60,102.97,118.84,121.11,,121.11,59.42,-63.96,-63.96,,59.42,129.73,141.07,145.6,-150.14,145.6,326.13,1,375.72,380.96,336.91,76.99,,USA,AR,SPF,,11/4/2023,USA,AR,Russellville,Iron Maiden,Yes
Judy Gedney,F,SBD,Raw,71,70-74,70-999,F-M7,43.9,44,,,,,65,,,,51,50,,,,,95,210,1,289.75,296.14,265.69,62.5,Yes,USA,,WDFPF,WDFPF,11/12/2011,Scotland,,Glasgow,World Powerlifting Championships,Yes
Judy Gedney,F,SBD,Single-ply,71,70-74,70-999,F-M7,44,44,,,,85,80,,,,,52.5,,,,,107.5,240,1,330.56,337.94,303.11,55.37,Yes,USA,,WDFPF,WDFPF,11/12/2011,Scotland,,Glasgow,World Powerlifting Championships,Yes
Willie Murphy,F,B,Raw,73,70-74,70-999,70-79,60,60,,,,,,,,,,52.16,,,,,,52.16,1,57.82,58.15,51.38,44.81,Yes,USA,,WNPF,,11/6/2010,USA,,,World Tournament of Champions,Yes
Anne Page Watson,F,SBD,Raw,74,70-74,70-999,M70-74,80.3,82.5,25,35,40,,40,25,-30,30,,30,62,80,-85,,80,150,1,141.07,136.97,120.09,28.85,,USA,NC,USPC,,1/6/2024,USA,NC,Clayton,Ruckus,Yes
Anne Page Watson,F,B,Raw,74,70-74,70-999,M70-74,80.3,82.5,,,,,,25,-30,30,,30,,,,,,30,1,28.21,27.39,24.02,22.65,,USA,NC,USPC,,1/6/2024,USA,NC,Clayton,Ruckus,Yes
Anne Page Watson,F,D,Raw,74,70-74,70-999,M70-74,80.3,82.5,,,,,,,,,,,62,80,-85,,80,80,1,75.24,73.05,64.05,,,USA,NC,USPC,,1/6/2024,USA,NC,Clayton,Ruckus,Yes
Susanna Harris,F,SBD,Raw,73,70-74,70-999,M70-74,70.3,75,103,108,111,,111,-50,51,-53,,51,-141,,,,,,DQ,,,,,,USA,TN,USPC,,1/28/2023,USA,TN,Knoxville,7th Tennessee Open,Yes
Susanna Harris,F,SBD,Raw,73,70-74,70-999,Open,70.3,75,103,108,111,,111,-50,51,-53,,51,-141,,,,,,DQ,,,,,,USA,TN,USPC,,1/28/2023,USA,TN,Knoxville,7th Tennessee Open,Yes
Susanna Harris,F,SBD,Raw,74,70-74,70-999,M70-74,68.3,75,91,100,106,,106,37,41,43,,43,125,137,-149,,137,286,1,293.27,289.46,255.29,59.59,,USA,TN,USPC,,1/27/2024,USA,TN,Oliver Springs,Tennessee Open,Yes
Susanna Harris,F,SBD,Raw,74,70-74,70-999,Open,68.3,75,91,100,106,,106,37,41,43,,43,125,137,-149,,137,286,2,293.27,289.46,255.29,59.59,,USA,TN,USPC,,1/27/2024,USA,TN,Oliver Springs,Tennessee Open,Yes
Anne Watson,F,SBD,Raw,73,70-74,70-999,M70-74,92.3,100,43,-48,48,,48,29,34,-39,,34,87,-99,-99,,87,169,1,149.02,144.56,125.34,30.86,,USA,NC,USPC,,1/7/2023,USA,NC,Clayton,8th Annual Ruckus,Yes
Anne Watson,F,SBD,Raw,73,70-74,70-999,Open,92.3,100,43,-48,48,,48,29,34,-39,,34,87,-99,-99,,87,169,2,149.02,144.56,125.34,30.86,,USA,NC,USPC,,1/7/2023,USA,NC,Clayton,8th Annual Ruckus,Yes
Anne Watson,F,BD,Raw,73,70-74,70-999,M70-74,92.3,100,,,,,,29,34,-39,,34,87,-99,-99,,87,121,1,106.7,103.5,89.74,,,USA,NC,USPC,,1/7/2023,USA,NC,Clayton,8th Annual Ruckus,Yes
Anne Watson,F,BD,Raw,73,70-74,70-999,Open,92.3,100,,,,,,29,34,-39,,34,87,-99,-99,,87,121,1,106.7,103.5,89.74,,,USA,NC,USPC,,1/7/2023,USA,NC,Clayton,8th Annual Ruckus,Yes
Susanna B Harris,F,SBD,Raw,71,70-74,70-999,M70-74,76.2,82.5,93,-98,100,,100,48,51,52,,52,133,141,146,-150,146,298,1,287.84,280.53,246.61,58.68,,USA,TN,USPC,,2/13/2021,USA,TN,Oak Ridge,5th Tennessee Open,Yes
Susanna Harris,F,SBD,Raw,71,70-74,70-999,M70-74,73,75,101,105,108,,108,48,-51,,,48,140,-150,152,-156,152,308,1,304.35,297.9,262.3,61.93,,USA,TN,USPC,,8/28/2021,USA,TN,Oak Ridge,Volunteer Open,Yes
Susanna Harris,F,SBD,Raw,71,70-74,70-999,Open,73,75,101,105,108,,108,48,-51,,,48,140,-150,152,-156,152,308,2,304.35,297.9,262.3,61.93,,USA,TN,USPC,,8/28/2021,USA,TN,Oak Ridge,Volunteer Open,Yes
Anne Page Watson,F,SBD,Raw,72,70-74,70-999,M70-74,91.5,100,-43,-43,-43,,,-25,25,34,,34,84,89,93,,93,,DQ,,,,,,USA,NC,USPC,,1/8/2022,USA,NC,Clayton,Raleigh Ruckus,Yes
Anne Page Watson,F,SBD,Raw,72,70-74,70-999,Open,91.5,100,-43,-43,-43,,,-25,25,34,,34,84,89,93,,93,,DQ,,,,,,USA,NC,USPC,,1/8/2022,USA,NC,Clayton,Raleigh Ruckus,Yes
Anne Page Watson,F,SBD,Raw,73,70-74,70-999,TM70-74,89.9,90,-45,45,-47,,45,30,35,37,,37,75,85,91,,91,173,1,154.31,149.55,130.01,31.87,Yes,USA,NC,USPC,,9/9/2023,USA,VA,Danville,King of the Club,Yes
Linda Arvey,F,SBD,Raw,70,70-74,70-999,M70-74,84.3,90,-112.5,120,125,130.5,125,70,75,-77.5,,75,140,150,157.5,,157.5,357.5,1,328.4,318.23,278.14,67.42,Yes,USA,PA,USPC,,10/31/2020,USA,MD,Stevensville,Drug Tested Grit Classic,Yes
Linda Arvey,F,SBD,Raw,70,70-74,70-999,Open,84.3,90,-112.5,120,125,130.5,125,70,75,-77.5,,75,140,150,157.5,,157.5,357.5,1,328.4,318.23,278.14,67.42,Yes,USA,PA,USPC,,10/31/2020,USA,MD,Stevensville,Drug Tested Grit Classic,Yes
Linda Arvey,F,BD,Raw,70,70-74,70-999,M70-74,84.3,90,,,,,,70,75,-77.5,,75,140,150,157.5,,157.5,232.5,1,213.57,206.96,180.89,,Yes,USA,PA,USPC,,10/31/2020,USA,MD,Stevensville,Drug Tested Grit Classic,Yes
Linda Arvey,F,BD,Raw,70,70-74,70-999,Open,84.3,90,,,,,,70,75,-77.5,,75,140,150,157.5,,157.5,232.5,1,213.57,206.96,180.89,,Yes,USA,PA,USPC,,10/31/2020,USA,MD,Stevensville,Drug Tested Grit Classic,Yes
Mary Duffy,F,SBD,Wraps,70,70-74,70-999,Amateur Masters 70-74,55.11,56,,,,,79.38,,,,,56.7,,,,,113.4,249.48,1,292.28,297.25,263.02,60.06,Yes,USA,,IPA,,11/2/2019,USA,CT,New Haven,Connecticut State Powerlifting Championships,Yes
Mary Duffy,F,BD,Raw,73,70-74,70-999,Amateur Masters 70-74,52.16,56,,,,,,,,,,54.43,,,,,102.06,156.49,1,190.34,194.62,172.5,,Yes,USA,,IPA,,5/6/2023,USA,CT,New Haven,Connecticut Classic,Yes
Carla Cohen,F,SBD,Wraps,70.5,70-74,70-999,Amateur Masters 70-74,53.02,56,,,,,38.56,,,,,27.22,,,,,61.23,127.01,1,152.75,155.97,138.16,31.55,Yes,USA,,IPA,,3/4/2017,USA,PA,York,Pennsylvania State Powerlifting Championships,Yes
Carla Cohen,F,SBD,Wraps,71.5,70-74,70-999,Amateur Masters 70-74,53.3,56,,,,,38.56,,,,,29.48,,,,70.31,68.04,136.08,1,163.07,166.42,147.39,33.65,Yes,USA,,IPA,,3/4/2018,USA,PA,York,Pennsylvania State Powerlifting Championships,Yes
Mary Duffy,F,SBD,Wraps,74,70-74,70-999,Amateur Masters 70-74,51.26,52,,,,,70.31,,,,,52.16,,,,,104.33,226.8,1,279.23,285.88,253.55,57.98,Yes,USA,,IPA,,10/28/2023,USA,CT,New Haven,Connecticut State Open Powerlifting Championships,Yes
Carla Cohen,F,SBD,Wraps,73,70-74,70-999,Amateur Masters 70-74,56,56,,,,,34.02,,,,,31.75,,,,,77.11,142.88,1,165.61,168.11,148.7,33.97,Yes,USA,,IPA,,11/23/2019,USA,PA,York,National Powerlifting & Bench Press Championships,Yes
Mary Duffy,F,BD,Raw,72,70-74,70-999,Amateur Masters 70-74,53.98,56,,,,,,,,,,57.61,,,,,106.59,164.2,1,195.07,198.84,176.04,,Yes,USA,,IPA,,11/6/2021,USA,CT,,Ironman Showdown,Yes
Mary Duffy,F,SBD,Wraps,73,70-74,70-999,Amateur Masters 70-74,52.16,56,,,,,81.65,,,,,54.43,,,,,108.86,244.94,1,297.92,304.63,269.99,61.69,Yes,USA,,IPA,,10/29/2022,USA,CT,New Haven,Connecticut State Powerlifting Championships,Yes
Kate Miller,F,SBD,Wraps,71,70-74,70-999,Amateur Open,58.06,60,,,,,77.11,,,,,47.63,,,,,120.2,244.94,2,277.29,280.16,247.65,56.68,Yes,USA,,IPA,,10/21/2017,USA,CT,New Haven,Connecticut State Powerlifting Championships,Yes
Cheryl Keeling,F,SBD,Wraps,71,70-74,70-999,Amateur Masters 70-74,47.72,48,29.48,,,,29.48,38.56,40.82,,,40.82,38.56,,,,38.56,108.86,1,141.08,144.8,128.93,29.73,Yes,USA,,IPA,,6/25/2023,USA,PA,York,Strength Spectacular,Yes
Karola Meyer,F,B,Raw,79,75-79,70-999,Masters 75-79,51.71,52,,,,,,,,,,27.5,,,,,,27.5,1,33.65,34.43,30.53,26.46,Yes,USA,MD,RAW,,2/1/2020,USA,MD,White Plains,Southern Maryland Single Lifts Open,Yes
Karola Meyer,F,D,Raw,79,75-79,70-999,Masters 75-79,51.71,52,,,,,,,,,,,,,,,80,80,1,97.89,100.16,88.8,,Yes,USA,MD,RAW,,2/1/2020,USA,MD,White Plains,Southern Maryland Single Lifts Open,Yes
Marlene Henriques,F,D,Raw,78,75-79,70-999,Masters 75-79,62.01,67.5,,,,,,,,,,,,,,,67.5,67.5,1,73.3,73.37,64.8,,Yes,USA,VA,RAW,,3/17/2018,USA,VA,Vienna,Potomac Open,Yes
Karola Meyer,F,B,Raw,78,75-79,70-999,Masters 75-79,52.16,56,,,,,,,,,,25,,,,,,25,1,30.41,31.09,27.56,23.87,Yes,USA,MD,RAW,,9/14/2019,USA,DC,Washington,KAAOS Classic,Yes
Karola Meyer,F,D,Raw,78,75-79,70-999,Masters 75-79,52.16,56,,,,,,,,,,,,,,,83.5,83.5,1,101.56,103.85,92.04,,Yes,USA,MD,RAW,,9/14/2019,USA,DC,Washington,KAAOS Classic,Yes
Linda Leightley,F,SBD,Raw,76,75-79,70-999,Open,59.06,60,,,,,70,,,,,45,,,,,125,240,1,268.73,270.87,239.38,54.85,Yes,USA,VA,RAW,,10/14/2021,USA,PA,York,Powerlifting Worlds,Yes
Linda Leightley,F,SBD,Raw,76,75-79,70-999,Masters 75-79,59.06,60,,,,,70,,,,,45,,,,,125,240,1,268.73,270.87,239.38,54.85,Yes,USA,VA,RAW,,10/14/2021,USA,PA,York,Powerlifting Worlds,Yes
Karola Meyer,F,B,Raw,78,75-79,70-999,Masters 75-79,52.62,56,,,,,,,,,,28,,,,,,28,1,33.85,34.59,30.65,26.53,Yes,USA,MD,RAW,,7/6/2019,USA,VA,Stafford,Battlefield Open,Yes
Karola Meyer,F,D,Raw,78,75-79,70-999,Masters 75-79,52.62,56,,,,,,,,,,,,,,,82.5,82.5,1,99.74,101.91,90.29,,Yes,USA,MD,RAW,,7/6/2019,USA,VA,Stafford,Battlefield Open,Yes
Marlene Henriques,F,B,Raw,79,75-79,70-999,Masters 75-79,62.6,67.5,,,,,,,,,,27.5,,,,,,27.5,1,29.69,29.68,26.21,23.03,Yes,USA,VA,RAW,,3/16/2019,USA,VA,Vienna,Potomac Open,Yes
Marlene Henriques,F,D,Raw,79,75-79,70-999,Masters 75-79,62.6,67.5,,,,,,,,,,,,,,,65,65,1,70.18,70.15,61.94,,Yes,USA,VA,RAW,,3/16/2019,USA,VA,Vienna,Potomac Open,Yes
Karola Meyer,F,BD,Raw,79,75-79,70-999,Open,52.62,56,,,,,,27.5,30,,,30,75,82.5,87.5,,87.5,117.5,2,142.05,145.14,128.6,,Yes,USA,MD,RAW,,10/10/2020,USA,MD,Waldorf,Fall Micro Meet 2,Yes
Linda Leightley,F,SBD,Raw,75,75-79,70-999,Masters 75-79,59.51,60,,,,,62.5,,,,,45,,,,,122.5,230,1,256.29,258.06,228.03,52.29,Yes,USA,VA,RAW,,3/7/2020,USA,VA,Tyson's Corner,Potomac Open,Yes
Susan Bohling,F,SBD,Raw,79,75-79,70-999,Open,38.5,44,,,,,22.6,,,,,16.7,,,,,56.6,95.9,1,142.39,146.23,133.9,33.42,Yes,USA,FL,RAW,,6/25/2022,USA,FL,Viera,American Challenge FL,Yes
Susan Bohling,F,SBD,Raw,79,75-79,70-999,Masters 75-79,38.5,44,,,,,22.6,,,,,16.7,,,,,56.6,95.9,1,142.39,146.23,133.9,33.42,Yes,USA,FL,RAW,,6/25/2022,USA,FL,Viera,American Challenge FL,Yes
Teresa DeLao,F,SBD,Raw,78,75-79,70-999,Masters 75-79,75,75,,,,,40,,,,,27.5,,,,,67.5,135,1,131.49,128.34,112.89,26.78,Yes,USA,,NORCAL,,3/20/2016,USA,CA,Concord,I Powerlift Like a Girl,Yes
Gale Williams,F,B,Raw,76,75-79,70-999,FR-M4,66.7,69,,,,,,55,60,-63.5,,60,,,,,,60,1,62.37,61.77,54.5,48.6,Yes,USA,GA,AMP,IPF,1/27/2024,USA,TX,Austin,Bench Press Nationals,Yes
Carla Cohen,F,SBD,Raw,76,75-79,70-999,FR-O,46.85,47,25,27.5,,,27.5,25,,,,25,45,,,,45,97.5,G,128.08,131.43,117.19,27.11,Yes,USA,NY,AMP,IPF,6/18/2022,USA,FL,Orlando,Nationals,Yes
Denise Johnson,F,SBD,Raw,76,75-79,70-999,FR-M4,50.55,52,35,,,,35,30,,,,30,65,,,,65,130,1,161.63,165.62,146.98,33.65,Yes,USA,WA,AMP,IPF,10/28/2023,USA,WA,Vancouver,Kilo Massacre,Yes
Gale Williams,F,SBD,Raw,75,75-79,70-999,FR-M4,66.4,69,82.5,87.5,88.5,,88.5,55,60,62.5,,62.5,125,132.5,137,,137,288,1,300.18,297.45,262.46,61,Yes,USA,GA,AMP,IPF,6/2/2023,USA,,,Classic Junior and Masters Nationals,Yes
CJ Van Pelt,F,BD,Raw,75,75-79,70-999,FR-M4,68,69,,,,,,35,37.5,40,,40,75,80,85,,85,125,1,128.5,126.91,111.93,,Yes,USA,NM,AMP,IPF,12/9/2023,USA,NM,Santa Fe,Overload Winter Classic II,Yes
Nancy Sassaman,F,SBD,Raw,75,75-79,70-999,FR-M4,56,57,40,50,60,,60,25,32.5,35,,35,80,92.5,102.5,,102.5,197.5,1,228.93,232.38,205.55,46.95,Yes,USA,CA,AMP,IPF,2/17/2024,USA,AZ,Glendale,Lake Pleasant Classic,Yes
Tonnie Alliance,F,BD,Raw,78,75-79,70-999,FR-M4,69.13,76,,,,,,-30,30,32.5,,32.5,75,85,92.5,,92.5,125,1,127.3,125.44,110.6,,Yes,USA,FL,AMP,IPF,1/20/2024,USA,FL,Fleming Island,7th Annual Jacksonville Open Championship,Yes
Joanne Skerritt,F,SBD,Raw,77,75-79,70-999,M75-79,54.6,56,55,60,65,,65,20,25,27.5,,27.5,85,90,95,,95,187.5,1,221.04,225.03,199.17,45.47,,USA,NY,XPC,XPC,1/13/2024,USA,NY,Amsterdam,Gorilla Pack Full Power,Yes
Beth Engel,F,SBD,Raw,79,75-79,70-999,M75-79,54.6,56,55,-65,-65,,55,27.5,30,-32.5,,30,80,85,90,95,90,175,1,206.3,210.03,185.89,42.44,,USA,,XPC,XPC,3/9/2024,USA,TX,Magnola,Texas Iron Throwdown,Yes
Beth Engel,F,SBD,Raw,79,75-79,70-999,Open,54.6,56,55,-65,-65,,55,27.5,30,-32.5,,30,80,85,90,95,90,175,1,206.3,210.03,185.89,42.44,,USA,,XPC,XPC,3/9/2024,USA,TX,Magnola,Texas Iron Throwdown,Yes
Beth Engel,F,BD,Raw,79,75-79,70-999,M75-79,54.6,56,,,,,,27.5,30,-32.5,,30,80,85,90,95,90,120,1,141.47,144.02,127.47,,,USA,,XPC,XPC,3/9/2024,USA,TX,Magnola,Texas Iron Throwdown,Yes
Beth Engel,F,BD,Raw,79,75-79,70-999,Open,54.6,56,,,,,,27.5,30,-32.5,,30,80,85,90,95,90,120,1,141.47,144.02,127.47,,,USA,,XPC,XPC,3/9/2024,USA,TX,Magnola,Texas Iron Throwdown,Yes
Beth Engel,F,D,Raw,79,75-79,70-999,M75-79,54.6,56,,,,,,,,,,,80,85,90,95,90,90,1,106.1,108.02,95.6,,,USA,,XPC,XPC,3/9/2024,USA,TX,Magnola,Texas Iron Throwdown,Yes
